gap_id,row_id,image_filename,x_center_px,y_center_px,width_px,height_px,area_px2,area_m2
Gap-162,Row-3,119.jpg,242.9,278.5,33,199,4627,0.115675
Gap-163,Row-3,119.jpg,243.0,475.9,31,96,1359,0.033975
Gap-164,Row-4,119.jpg,306.3,160.5,69,98,2852,0.0713
Gap-165,Row-4,119.jpg,421.7,362.4,189,310,12789,0.319725
Gap-166,Row-5,119.jpg,418.1,210.4,191,193,9719,0.242975
Gap-167,Row-1,12.jpg,80.7,205.6,168,185,9302,0.23255
Gap-168,Row-2,12.jpg,139.3,269.3,135,322,10908,0.2727
Gap-169,Row-2,12.jpg,62.1,472.1,55,90,2795,0.069875
Gap-170,Row-3,12.jpg,261.6,314.8,64,396,11291,0.282275
Gap-171,Row-4,12.jpg,332.2,173.4,65,114,1658,0.04145
Gap-172,Row-4,12.jpg,306.9,177.2,58,113,1549,0.038725
Gap-173,Row-4,12.jpg,374.9,264.7,31,45,812,0.0203
Gap-174,Row-4,12.jpg,400.6,323.4,44,105,1827,0.045675
Gap-175,Row-4,12.jpg,472.2,451.9,80,138,4800,0.12
Gap-176,Row-5,12.jpg,414.2,180.0,158,143,6951,0.173775
Gap-177,Row-1,120.jpg,77.3,309.7,165,390,14207,0.355175
Gap-178,Row-2,120.jpg,316.5,161.0,29,93,1988,0.0497
Gap-179,Row-2,120.jpg,318.9,297.2,29,188,4155,0.103875
Gap-180,Row-2,120.jpg,316.6,465.0,29,113,2436,0.0609
Gap-181,Row-3,120.jpg,498.6,136.2,28,45,1133,0.028325
Gap-182,Row-1,121.jpg,87.0,248.1,125,278,9374,0.23435
Gap-183,Row-1,121.jpg,20.6,439.9,54,103,3211,0.080275
Gap-184,Row-2,121.jpg,277.5,185.5,30,140,3662,0.09155
Gap-185,Row-2,121.jpg,278.8,394.2,31,242,6849,0.171225
Gap-186,Row-3,121.jpg,470.0,211.8,90,199,7115,0.177875
Gap-187,Row-1,122.jpg,80.9,312.7,160,391,14204,0.3551
Gap-188,Row-2,122.jpg,314.6,226.3,37,226,6278,0.15695
Gap-189,Row-2,122.jpg,322.4,434.9,35,159,4556,0.1139
Gap-190,Row-3,122.jpg,484.7,168.2,57,109,3738,0.09345
Gap-191,Row-1,123.jpg,55.5,256.5,118,299,10111,0.252775
Gap-192,Row-2,123.jpg,264.4,221.6,41,217,6116,0.1529
Gap-193,Row-2,123.jpg,277.1,426.0,39,168,4852,0.1213
Gap-194,Row-3,123.jpg,464.3,203.5,102,183,6700,0.1675
Gap-195,Row-1,124.jpg,62.6,262.9,127,304,10414,0.26035
Gap-196,Row-2,124.jpg,274.3,227.4,38,239,6608,0.1652
Gap-197,Row-2,124.jpg,279.1,412.9,35,153,3378,0.08445
Gap-198,Row-3,124.jpg,464.6,214.2,102,209,7519,0.187975
Gap-199,Row-1,125.jpg,48.6,183.1,104,143,6184,0.1546
Gap-200,Row-2,125.jpg,97.4,310.1,177,396,14978,0.37445
Gap-201,Row-3,125.jpg,296.3,311.7,48,396,11002,0.27505
Gap-202,Row-4,125.jpg,448.7,225.7,128,237,8967,0.224175
Gap-203,Row-1,126.jpg,47.7,176.3,101,128,5660,0.1415
Gap-204,Row-2,126.jpg,104.0,311.3,176,396,14774,0.36935
Gap-205,Row-3,126.jpg,297.9,244.7,56,260,7710,0.19275
Gap-206,Row-3,126.jpg,318.0,440.8,41,134,3577,0.089425
Gap-207,Row-4,126.jpg,455.0,193.4,118,162,7152,0.1788
Gap-208,Row-1,127.jpg,67.2,198.2,141,173,8130,0.20325
Gap-209,Row-2,127.jpg,146.0,317.0,189,396,15199,0.379975
Gap-210,Row-3,127.jpg,343.3,255.3,40,286,7874,0.19685
Gap-211,Row-3,127.jpg,350.5,456.9,34,118,2782,0.06955
Gap-212,Row-4,127.jpg,476.3,189.2,77,157,5518,0.13795
Gap-213,Row-1,128.jpg,18.0,141.4,41,58,1902,0.04755
Gap-214,Row-2,128.jpg,71.1,261.7,148,304,11725,0.293125
Gap-215,Row-3,128.jpg,244.6,301.3,33,396,9897,0.247425
Gap-216,Row-4,128.jpg,421.9,279.2,180,342,13199,0.329975
Gap-217,Row-5,128.jpg,482.6,144.9,61,63,2505,0.062625
Gap-218,Row-1,129.jpg,77.2,297.8,160,382,13669,0.341725
Gap-219,Row-2,129.jpg,272.0,182.3,30,140,3481,0.087025
Gap-220,Row-2,129.jpg,272.2,387.0,29,261,7187,0.179675
Gap-221,Row-3,129.jpg,449.4,257.9,129,302,10504,0.2626
Gap-222,Row-1,13.jpg,59.0,182.6,123,140,6007,0.150175
Gap-223,Row-2,13.jpg,78.6,282.1,168,340,13281,0.332025
Gap-224,Row-3,13.jpg,237.1,286.7,72,356,9505,0.237625
Gap-225,Row-4,13.jpg,299.5,160.6,77,89,3486,0.08715
Gap-226,Row-4,13.jpg,419.9,348.6,83,124,4186,0.10465
Gap-227,Row-4,13.jpg,499.0,479.4,29,38,894,0.02235
Gap-228,Row-5,13.jpg,423.0,192.3,184,161,8276,0.2069
Gap-229,Row-1,130.jpg,297.2,141.9,29,56,1482,0.03705
Gap-230,Row-1,130.jpg,297.0,203.6,30,64,1360,0.034
Gap-231,Row-1,130.jpg,298.6,378.6,31,270,7403,0.185075
Gap-232,Row-2,130.jpg,430.1,253.6,168,290,11840,0.296
Gap-233,Row-3,130.jpg,467.1,159.0,95,95,4605,0.115125
Gap-234,Row-1,131.jpg,263.5,319.7,38,396,10254,0.25635
Gap-235,Row-2,131.jpg,411.2,294.0,202,375,15077,0.376925
Gap-236,Row-3,131.jpg,453.3,169.9,122,115,6015,0.150375
Gap-237,Row-1,132.jpg,283.6,309.1,49,396,10807,0.270175
Gap-238,Row-2,132.jpg,417.4,268.8,192,318,13065,0.326625
Gap-239,Row-3,132.jpg,455.2,175.6,119,128,6249,0.156225
Gap-240,Row-1,133.jpg,276.7,326.0,35,378,10792,0.2698
Gap-241,Row-2,133.jpg,427.5,258.9,174,299,12061,0.301525
Gap-242,Row-3,133.jpg,479.5,148.9,69,73,3218,0.08045
Gap-243,Row-1,134.jpg,64.0,186.1,134,150,7229,0.180725
Gap-244,Row-2,134.jpg,119.4,290.6,178,360,13636,0.3409
Gap-245,Row-2,134.jpg,36.4,497.9,39,34,880,0.022
Gap-246,Row-3,134.jpg,259.2,316.6,44,396,10918,0.27295
Gap-247,Row-1,135.jpg,89.0,214.5,184,206,10329,0.258225
Gap-248,Row-2,135.jpg,162.9,314.3,167,396,14433,0.360825
Gap-249,Row-3,135.jpg,316.2,309.2,80,392,12441,0.311025
Gap-250,Row-1,136.jpg,70.2,190.3,147,157,7878,0.19695
Gap-251,Row-2,136.jpg,106.2,311.8,211,396,16088,0.4022
Gap-252,Row-3,136.jpg,275.3,313.4,49,396,11891,0.297275
Gap-253,Row-1,137.jpg,64.4,182.9,135,141,7104,0.1776
Gap-254,Row-2,137.jpg,111.1,313.0,189,396,15234,0.38085
Gap-255,Row-3,137.jpg,258.2,307.1,40,396,11263,0.281575
Gap-256,Row-1,138.jpg,88.2,228.7,184,231,10712,0.2678
Gap-257,Row-2,138.jpg,149.6,314.5,170,396,15156,0.3789
Gap-258,Row-3,138.jpg,294.5,313.1,67,394,11840,0.296
Gap-259,Row-1,139.jpg,72.8,186.7,149,150,7313,0.182825
Gap-260,Row-2,139.jpg,113.1,311.5,203,396,14273,0.356825
Gap-261,Row-3,139.jpg,268.9,313.6,41,396,11779,0.294475
Gap-262,Row-1,14.jpg,77.0,199.0,162,177,8469,0.211725
Gap-263,Row-2,14.jpg,135.9,272.8,158,320,11789,0.294725
Gap-264,Row-2,14.jpg,46.7,475.2,51,86,2343,0.058575
Gap-265,Row-3,14.jpg,253.3,313.7,46,396,11693,0.292325
Gap-266,Row-4,14.jpg,412.4,326.7,229,381,13826,0.34565
Gap-267,Row-5,14.jpg,379.3,136.8,37,40,652,0.0163
Gap-268,Row-5,14.jpg,438.5,210.6,179,160,7306,0.18265
Gap-269,Row-1,140.jpg,61.6,189.0,130,157,7304,0.1826
Gap-270,Row-2,140.jpg,102.1,316.3,173,396,15010,0.37525
Gap-271,Row-3,140.jpg,234.8,145.3,35,67,1793,0.044825
Gap-272,Row-3,140.jpg,247.2,267.6,47,167,4349,0.108725
Gap-273,Row-3,140.jpg,259.3,400.6,39,84,1688,0.0422
Gap-274,Row-3,140.jpg,267.2,478.3,36,70,2035,0.050875
Gap-275,Row-4,140.jpg,292.8,136.2,52,50,1485,0.037125
Gap-276,Row-4,140.jpg,328.8,202.1,52,49,1168,0.0292
Gap-277,Row-4,140.jpg,380.4,288.3,85,110,4226,0.10565
Gap-278,Row-4,140.jpg,463.5,428.9,101,123,3750,0.09375
Gap-279,Row-5,140.jpg,407.2,160.2,106,100,1935,0.048375
Gap-280,Row-5,140.jpg,392.0,182.1,111,101,1859,0.046475
Gap-281,Row-5,140.jpg,483.7,250.2,69,81,2856,0.0714
Gap-282,Row-1,141.jpg,66.7,196.4,141,169,8010,0.20025
Gap-283,Row-2,141.jpg,144.9,212.7,110,205,7500,0.1875
Gap-284,Row-2,141.jpg,55.3,426.8,98,182,6615,0.165375
Gap-285,Row-3,141.jpg,247.8,216.8,45,228,6040,0.151
Gap-286,Row-3,141.jpg,266.0,440.7,42,153,3691,0.092275
Gap-287,Row-4,141.jpg,333.9,175.8,89,124,4921,0.123025
Gap-288,Row-4,141.jpg,469.3,394.6,93,150,5673,0.141825
Gap-289,Row-5,141.jpg,422.2,161.0,115,97,3352,0.0838
Gap-290,Row-5,141.jpg,494.6,219.6,40,60,1095,0.027375
Gap-291,Row-6,141.jpg,461.5,139.5,69,61,2005,0.050125
Gap-292,Row-1,142.jpg,112.7,185.5,160,158,6207,0.155175
Gap-293,Row-1,142.jpg,16.7,283.1,42,46,1466,0.03665
Gap-294,Row-2,142.jpg,183.6,195.2,96,155,5502,0.13755
Gap-295,Row-2,142.jpg,89.1,401.5,126,226,8918,0.22295
Gap-296,Row-3,142.jpg,254.8,151.6,30,82,1803,0.045075
Gap-297,Row-3,142.jpg,257.9,233.5,31,57,1433,0.035825
Gap-298,Row-3,142.jpg,259.2,312.6,31,79,1644,0.0411
Gap-299,Row-3,142.jpg,263.1,432.1,33,160,4646,0.11615
Gap-300,Row-4,142.jpg,379.1,237.9,172,233,7230,0.18075
Gap-301,Row-4,142.jpg,476.8,405.5,86,119,4575,0.114375
Gap-302,Row-5,142.jpg,394.0,142.3,71,54,1293,0.032325
Gap-303,Row-5,142.jpg,363.8,152.0,54,52,759,0.018975
Gap-304,Row-5,142.jpg,481.1,227.3,69,89,2886,0.07215
Gap-305,Row-1,143.jpg,104.8,178.7,113,147,5958,0.14895
Gap-306,Row-1,143.jpg,31.0,270.7,31,40,741,0.018525
Gap-307,Row-2,143.jpg,181.6,167.9,77,117,3725,0.093125
Gap-308,Row-2,143.jpg,80.5,381.0,142,288,10401,0.260025
Gap-309,Row-3,143.jpg,280.0,210.5,46,176,4886,0.12215
Gap-310,Row-3,143.jpg,300.6,404.1,51,212,5936,0.1484
Gap-311,Row-4,143.jpg,401.7,226.1,157,220,8787,0.219675
Gap-312,Row-4,143.jpg,495.2,368.5,39,77,1542,0.03855
Gap-313,Row-5,143.jpg,447.3,180.2,112,98,1602,0.04005
Gap-314,Row-1,144.jpg,56.1,172.8,116,117,5721,0.143025
Gap-315,Row-2,144.jpg,86.3,292.3,179,362,14187,0.354675
Gap-316,Row-3,144.jpg,236.1,194.9,34,160,4705,0.117625
Gap-317,Row-3,144.jpg,239.1,424.4,20,51,558,0.01395
Gap-318,Row-4,144.jpg,320.7,152.6,53,98,2146,0.05365
Gap-319,Row-4,144.jpg,386.7,282.8,48,82,1446,0.03615
Gap-320,Row-4,144.jpg,435.5,336.4,35,52,881,0.022025
Gap-321,Row-4,144.jpg,475.9,428.0,79,133,4911,0.122775
Gap-322,Row-5,144.jpg,379.6,143.2,31,29,566,0.01415
Gap-323,Row-5,144.jpg,431.5,187.6,68,43,921,0.023025
Gap-324,Row-1,145.jpg,76.5,223.9,161,227,10184,0.2546
Gap-325,Row-2,145.jpg,171.4,142.1,60,70,1504,0.0376
Gap-326,Row-2,145.jpg,110.1,292.8,92,185,6371,0.159275
Gap-327,Row-2,145.jpg,28.5,474.3,43,53,1278,0.03195
Gap-328,Row-3,145.jpg,241.8,138.3,29,43,686,0.01715
Gap-329,Row-3,145.jpg,239.3,344.6,30,351,9550,0.23875
Gap-330,Row-4,145.jpg,401.9,312.1,223,396,15096,0.3774
Gap-331,Row-1,146.jpg,81.6,204.6,172,182,9218,0.23045
Gap-332,Row-2,146.jpg,152.4,273.9,160,326,12520,0.313
Gap-333,Row-3,146.jpg,269.7,214.3,33,108,2797,0.069925
Gap-334,Row-3,146.jpg,274.6,403.8,36,226,6132,0.1533
Gap-335,Row-4,146.jpg,358.8,179.5,89,142,5457,0.136425
Gap-336,Row-4,146.jpg,465.4,351.7,108,157,6295,0.157375
Gap-337,Row-5,146.jpg,445.1,173.5,133,122,5007,0.125175
Gap-338,Row-6,146.jpg,479.4,147.1,79,65,2792,0.0698
Gap-339,Row-1,147.jpg,96.7,151.9,82,68,2116,0.0529
Gap-340,Row-1,147.jpg,20.0,233.5,46,42,1284,0.0321
Gap-341,Row-2,147.jpg,98.8,314.2,204,396,16036,0.4009
Gap-342,Row-3,147.jpg,265.6,132.6,21,43,522,0.01305
Gap-343,Row-3,147.jpg,272.8,332.9,58,377,10937,0.273425
Gap-344,Row-4,147.jpg,415.7,279.9,202,334,14041,0.351025
Gap-345,Row-5,147.jpg,442.1,174.3,136,127,5214,0.13035
Gap-346,Row-6,147.jpg,482.8,147.5,72,55,2265,0.056625
Gap-347,Row-1,148.jpg,81.1,201.4,171,167,8203,0.205075
Gap-348,Row-2,148.jpg,120.3,318.0,188,396,15065,0.376625
Gap-349,Row-3,148.jpg,252.2,161.7,33,35,922,0.02305
Gap-350,Row-3,148.jpg,262.1,276.3,42,146,4190,0.10475
Gap-351,Row-3,148.jpg,276.7,451.3,39,123,3716,0.0929
Gap-352,Row-4,148.jpg,376.5,248.8,195,289,9825,0.245625
Gap-353,Row-4,148.jpg,479.5,439.7,83,120,2972,0.0743
Gap-354,Row-5,148.jpg,424.4,186.5,162,153,6738,0.16845
Gap-355,Row-6,148.jpg,457.1,158.0,118,90,4675,0.116875
Gap-356,Row-1,149.jpg,74.1,216.6,164,203,8946,0.22365
Gap-357,Row-2,149.jpg,193.3,157.5,50,82,2291,0.057275
Gap-358,Row-2,149.jpg,118.7,358.9,140,307,11641,0.291025
Gap-359,Row-3,149.jpg,271.5,138.4,33,53,1334,0.03335
Gap-360,Row-3,149.jpg,282.0,292.2,43,205,5377,0.134425
Gap-361,Row-4,149.jpg,379.0,195.3,114,172,6495,0.162375
Gap-362,Row-4,149.jpg,455.0,328.9,71,105,2433,0.060825
Gap-363,Row-4,149.jpg,490.5,406.3,38,33,544,0.0136
Gap-364,Row-5,149.jpg,446.3,154.3,118,93,3731,0.093275
Gap-365,Row-5,149.jpg,475.5,203.5,54,47,568,0.0142
Gap-366,Row-1,15.jpg,75.8,158.8,99,104,4386,0.10965
Gap-367,Row-2,15.jpg,85.8,261.5,174,303,9595,0.239875
Gap-368,Row-3,15.jpg,201.7,182.2,39,134,3956,0.0989
Gap-369,Row-3,15.jpg,201.1,277.8,25,52,728,0.0182
Gap-370,Row-3,15.jpg,183.5,420.8,42,212,5493,0.137325
Gap-371,Row-4,15.jpg,259.2,159.8,47,111,2060,0.0515
Gap-372,Row-4,15.jpg,313.9,234.6,36,49,898,0.02245
Gap-373,Row-4,15.jpg,407.2,441.7,92,146,5651,0.141275
Gap-374,Row-5,15.jpg,339.9,166.8,120,138,3810,0.09525
Gap-375,Row-5,15.jpg,462.4,286.2,100,133,4701,0.117525
Gap-376,Row-1,150.jpg,84.6,209.7,173,198,9531,0.238275
Gap-377,Row-2,150.jpg,149.2,311.6,180,396,13675,0.341875
